"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000022100",57741.4127840565,-5.04197442758611,0.12914099386885,-39.0424006857691,0,0
"ENSMUSG00000064339",53179555.6008509,-6.23571860134462,0.121734763525377,-51.2238116768075,0,0
"ENSMUSG00000052565",15316.3640694451,5.3262390766579,0.163685460536829,32.5394757676691,2.95002127784144e-232,1.35769812610523e-228
"ENSMUSG00000050936",21187.6463950611,4.86905674352003,0.150944708635281,32.2572204586837,2.78646377967656e-228,9.61817635149857e-225
"ENSMUSG00000068855",9386.16013433145,7.73884787818686,0.241705967066576,32.0176120271588,6.20189792459952e-225,1.71259209289891e-221
"ENSMUSG00000036181",23144.807551465,4.14864201107215,0.136007845671116,30.502960991707,2.38061135900538e-204,5.47818350563121e-201
"ENSMUSG00000061991",6120.88358248126,7.55635193319145,0.250122622186144,30.2105897785124,1.7195706818883e-200,3.39173034354739e-197
"ENSMUSG00000020914",26522.8044262022,3.94154241689019,0.13831398785644,28.4970629361163,1.2738305562492e-178,2.19847231126658e-175
"ENSMUSG00000042066",37782.2338173225,-3.52208536148895,0.12855873801073,-27.3967014299329,3.0022855688716e-165,4.60583964993446e-162
"ENSMUSG00000097971",603281.728605742,4.46199383320509,0.165474243807815,26.9648842655376,3.81685102052197e-160,5.26992620403469e-157
"ENSMUSG00000026822",7673.50286720483,-3.99504332907756,0.15207178606846,-26.2707727209771,4.13915783022092e-152,5.1953956510782e-149
"ENSMUSG00000064368",54290.2066399853,-4.36983265077369,0.16968609210704,-25.7524502834159,3.02603269865373e-146,3.48170278919267e-143
"ENSMUSG00000069274",7256.0192568187,6.69428867059944,0.266266637131304,25.1412972452057,1.75950994135106e-139,1.86873490463339e-136
"ENSMUSG00000064354",159496.237322988,-3.9408226789883,0.160276435845984,-24.5876610506563,1.71188650441344e-133,1.68828692617403e-130
"ENSMUSG00000079553",3597.05397077782,5.98481875683695,0.245454977956218,24.3825519721359,2.61926214424113e-131,2.41094349503582e-128
"ENSMUSG00000049932",8837.36612170909,4.81738341300634,0.199766530186964,24.1150677668461,1.73725231374142e-128,1.49914016848924e-125
"ENSMUSG00000038943",11523.0526952948,4.12961874073946,0.171440698055579,24.0877387200132,3.36054499426856e-128,2.729355572698e-125
"ENSMUSG00000078851",10697.6467320802,5.0573458055621,0.211972982912724,23.85844524179,8.27582248519341e-126,6.34801561405919e-123
"ENSMUSG00000034349",16980.6241145621,3.12845622873762,0.132723006209148,23.5713183274928,7.58997869276365e-123,5.51551767426251e-120
"ENSMUSG00000037287",7726.03957483534,-4.23609961563458,0.180543078980624,-23.4630961184018,9.71735200918114e-122,6.7083739595382e-119
"ENSMUSG00000087935",3175.83478825001,5.85067862465018,0.249531793115357,23.4466259854328,1.43094121089475e-121,9.40809776134466e-119
"ENSMUSG00000049539",8875.5265365187,5.03037234232641,0.220215936672763,22.8429078218869,1.71897368877757e-115,1.07881226004327e-112
"ENSMUSG00000027326",12337.0350874108,3.64913657625107,0.160667684345596,22.7123244547534,3.38458477305664e-114,2.03178095485187e-111
