"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000804",14096.8558350414,-5.24203886251151,0.127723442736803,-41.042104332512,0,0
"ENSMUSG00000001156",8286.42997491851,-5.77588505873105,0.137134194901742,-42.118488848602,0,0
"ENSMUSG00000004319",27860.4358602341,-5.702281792835,0.124892321850546,-45.6575849367162,0,0
"ENSMUSG00000007659",10166.2519052769,-7.77655456473572,0.152273732765715,-51.0695733498604,0,0
"ENSMUSG00000019302",8293.97195950952,-5.70157127414605,0.136079161573962,-41.8989300654026,0,0
"ENSMUSG00000019838",14706.1204749518,-5.41527937702101,0.1305819612305,-41.4703480173811,0,0
"ENSMUSG00000020300",32933.0374032357,-7.6971848973278,0.129562206186875,-59.4091836181434,0,0
"ENSMUSG00000020802",13021.1348236879,-7.10865676961592,0.164383294869481,-43.2443988621845,0,0
"ENSMUSG00000022100",109939.836235417,-7.53374242136996,0.139316645424296,-54.0763983975178,0,0
"ENSMUSG00000022564",12762.1457433156,-8.20992938706753,0.199577966911992,-41.1364516539437,0,0
"ENSMUSG00000022797",46285.1561888002,-4.73749285217559,0.122872766051178,-38.5560853265268,0,0
"ENSMUSG00000023926",17097.2192347363,-6.38829039270627,0.129924673512603,-49.1691856519202,0,0
"ENSMUSG00000023995",7056.49888098185,-6.43293516447881,0.151850203982882,-42.3636912941124,0,0
"ENSMUSG00000024588",20793.0401502184,-6.54099770038205,0.120707997382201,-54.1886025966542,0,0
"ENSMUSG00000024663",5045.55428995962,-6.76500270772619,0.155856962725539,-43.4052004441997,0,0
"ENSMUSG00000025270",27920.092139552,-14.0844948511917,0.29760836443859,-47.3256014754853,0,0
"ENSMUSG00000025728",22973.318883535,-6.14728144128364,0.144909796292703,-42.4214345651742,0,0
"ENSMUSG00000025889",8631.42223730311,-7.95339684415321,0.206177233823476,-38.5755337612237,0,0
"ENSMUSG00000026457",11022.6734178195,-5.1789882875924,0.13495455905094,-38.3757934819938,0,0
"ENSMUSG00000026822",14138.2382857193,-8.31942718347579,0.195416165935044,-42.572870794329,0,0
"ENSMUSG00000027075",17453.00159594,-6.64012970341164,0.164280533187819,-40.4194555164982,0,0
"ENSMUSG00000027078",11626.8773026249,-6.88132508018558,0.140627684078797,-48.9329332646182,0,0
"ENSMUSG00000027346",36018.9320574603,-6.77774306777977,0.133575865167321,-50.7407761071939,0,0
"ENSMUSG00000027510",10453.8025384975,-5.67726617669536,0.137539145326329,-41.2774571430216,0,0
"ENSMUSG00000028644",35658.1014097588,-5.20651932016643,0.122306174245427,-42.5695542542171,0,0
"ENSMUSG00000028906",45701.0876710244,-5.65495703433413,0.120829245913489,-46.8012275635897,0,0
"ENSMUSG00000029512",8478.29879725493,-6.08689087574208,0.14552735132995,-41.8264389485206,0,0
"ENSMUSG00000030878",9239.72266528576,-6.80098882842993,0.159821450164072,-42.5536673672279,0,0
"ENSMUSG00000031543",23776.7401487651,-5.93810822606061,0.155710953788907,-38.1354559943852,0,0
"ENSMUSG00000031974",12072.3014751691,-5.44428409361021,0.126530601839764,-43.0274100845954,0,0
"ENSMUSG00000032126",27013.4866829461,-6.77697607470514,0.118306717507756,-57.2831046069795,0,0
"ENSMUSG00000032411",29273.9361006661,-5.41315038683342,0.137225429220053,-39.4471375866712,0,0
"ENSMUSG00000032484",61281.4363399937,-7.26377951937013,0.11106614266574,-65.4004842972795,0,0
"ENSMUSG00000032496",8048.29395866351,-4.81229732995426,0.127685996094083,-37.6885287123297,0,0
"ENSMUSG00000033685",28139.2720916196,-4.67709126505526,0.118515868017474,-39.4638401025396,0,0
"ENSMUSG00000034248",125542.688790483,-8.74341716137499,0.103864624324657,-84.180896221654,0,0
"ENSMUSG00000034449",8848.00934009713,-7.27678107725725,0.149607180847199,-48.6392500416766,0,0
"ENSMUSG00000037266",22774.4693012835,-4.79138877529413,0.111678386390919,-42.9034563458177,0,0
"ENSMUSG00000037415",18964.9051739109,-6.75633609164906,0.167673278138192,-40.2946502070571,0,0
"ENSMUSG00000038357",8329.91269563084,-6.62384236217166,0.145593698140213,-45.4953919488507,0,0
"ENSMUSG00000038725",6022.98746325892,-5.19156369404537,0.137585240582941,-37.733434720534,0,0
"ENSMUSG00000039159",9330.24679926,-5.67328961919393,0.148630243851484,-38.1704925739263,0,0
"ENSMUSG00000039236",5149.57684873024,-6.18334292947729,0.152130587094229,-40.6449685601185,0,0
"ENSMUSG00000040809",11938.2925358874,-6.54798727600476,0.125385304396436,-52.2229244290199,0,0
"ENSMUSG00000040859",16605.2329453584,-6.29711494392643,0.125763011637096,-50.0712797980498,0,0
"ENSMUSG00000042066",67945.6554737713,-9.20682082866245,0.234786127879847,-39.2136490848134,0,0
"ENSMUSG00000042331",26621.5164686855,-6.39465557275091,0.126927095147858,-50.3805398311665,0,0
"ENSMUSG00000042675",5047.49128770206,-5.92446676160177,0.150895282585561,-39.2621072049914,0,0
"ENSMUSG00000044352",5825.67287885534,-8.7016694360315,0.204282565388982,-42.596241238024,0,0
"ENSMUSG00000044468",29358.7275902562,-8.87490651994328,0.17072584836357,-51.9833792305643,0,0
"ENSMUSG00000045973",24948.6280313437,-5.52213913672322,0.143060925205798,-38.5999120918549,0,0
"ENSMUSG00000047648",15384.1529226106,-5.70119127716168,0.128681047001172,-44.3048250696139,0,0
"ENSMUSG00000051839",23270.7047374244,-6.80346828904213,0.122748547475046,-55.4260594442085,0,0
"ENSMUSG00000051910",14923.6993723181,-7.09206523740373,0.141555207459602,-50.1010550207255,0,0
"ENSMUSG00000052305",570623.290355168,-15.1225567592218,0.318811691874208,-47.4341347719099,0,0
"ENSMUSG00000053641",53872.7400436867,-6.26855527289678,0.105371265575911,-59.4901773138602,0,0
"ENSMUSG00000056054",28717.6188036796,-6.2048647220961,0.126705365538581,-48.9708126859613,0,0
"ENSMUSG00000056071",46616.0538940682,-7.18938023883723,0.158217676189358,-45.439804274668,0,0
"ENSMUSG00000058624",10261.284021262,-6.63342172711795,0.158644859321316,-41.8130266274985,0,0
"ENSMUSG00000059495",10160.6012967707,-5.36203293886821,0.129451580360302,-41.4211469952248,0,0
"ENSMUSG00000062729",11282.5788724703,-6.86299499208441,0.151527214832129,-45.2921608813812,0,0
"ENSMUSG00000064337",49357341.4652303,-12.7697788047176,0.294943970665965,-43.2956089113613,0,0
"ENSMUSG00000064339",102490079.310969,-10.6482102371843,0.209614420930619,-50.7990346747603,0,0
"ENSMUSG00000064341",296969.64266809,-5.07508994527886,0.110592230370999,-45.8901129695431,0,0
"ENSMUSG00000064345",180547.115538606,-5.55808286297467,0.123475193900557,-45.0137609619871,0,0
"ENSMUSG00000064351",5852141.80580862,-6.37732239689422,0.114622331274191,-55.6376957788342,0,0
"ENSMUSG00000064357",1236785.46902266,-11.8707090483794,0.211154585085517,-56.2180974832812,0,0
"ENSMUSG00000064363",839248.424989595,-6.75334893361375,0.12050557223069,-56.0417979733376,0,0
"ENSMUSG00000064367",882950.412521661,-7.53759628445481,0.159162155614789,-47.3579680756374,0,0
"ENSMUSG00000064368",101256.013245764,-9.11265744992081,0.159497504463177,-57.1335425001879,0,0
"ENSMUSG00000064370",510214.668566276,-6.23864253507785,0.111598087596928,-55.9027727931207,0,0
"ENSMUSG00000069917",505175.192159921,-12.2936302339651,0.110783344384715,-110.970022635111,0,0
"ENSMUSG00000069919",254707.379373626,-12.7486357707253,0.274212679669708,-46.4917807086136,0,0
"ENSMUSG00000073940",340002.783127806,-12.9864016467658,0.131680264745483,-98.6207133761951,0,0
"ENSMUSG00000079557",12717.392747747,-6.41099449739768,0.123131700098611,-52.0661575553932,0,0
"ENSMUSG00000098178",11623587.2914786,-12.4759066123829,0.209576070190651,-59.5292516031702,0,0
"ENSMUSG00000101249",1299937.2828368,-17.9712774980647,0.286963231407256,-62.6257148343861,0,0
"ENSMUSG00000103065",11620.5436834644,-9.70578326433428,0.173462754659891,-55.9531254035739,0,0
"ENSMUSG00000103720",11620.5436834644,-9.70578326433428,0.173462754659891,-55.9531254035739,0,0
"ENSMUSG00000103788",5685.60416928297,-7.36961486330517,0.171616946477563,-42.942232772267,0,0
"ENSMUSG00000038733",27067.4174786522,-4.26131363811632,0.113697466231874,-37.4794072316951,1.99440688432187e-307,3.73249555054757e-305
"ENSMUSG00000034160",22203.2401333773,-4.17265826562477,0.111623967983627,-37.3813826994289,7.84184153038117e-306,1.44968872876888e-303
"ENSMUSG00000041842",8557.50426486147,-9.741877810471,0.261498691092643,-37.2540213098799,9.12069407656031e-304,1.66579037959732e-301
"ENSMUSG00000064356",253298.681753382,-6.75251675849208,0.181767250698653,-37.1492484621824,4.50825086380933e-302,8.13578271958162e-300
"ENSMUSG00000026571",6024.15607240903,-5.14109847632255,0.138481882658103,-37.1247009185698,1.12255316336339e-301,2.00197451805007e-299
"ENSMUSG00000022957",14007.5080626018,-6.73596006047301,0.181460080002307,-37.1208921564863,1.29317450448586e-301,2.27944561784898e-299
"ENSMUSG00000020490",8998.98219261344,-7.12639355139269,0.192248328927964,-37.0686891851371,8.97967413838852e-301,1.56463080763025e-298
"ENSMUSG00000026027",5599.81595110329,-6.16085098086664,0.167840561051829,-36.7065680801924,5.73761976084884e-295,9.88370204030768e-293
"ENSMUSG00000069516",27769.1465602662,-4.88803686808762,0.13327056697106,-36.6775423799996,1.66572729450726e-294,2.83716405139725e-292
"ENSMUSG00000022651",3787.00712633188,-8.81058161163784,0.241405367764795,-36.4970410277791,1.23551550948847e-291,2.08101995648174e-289
"ENSMUSG00000033767",14669.9701042656,-4.58870762819694,0.12615649675074,-36.3731377010516,1.13217714253821e-289,1.88600805535568e-287
"ENSMUSG00000020641",36161.9098723342,-10.1150675322256,0.278344814742673,-36.3400609477021,3.77201423186475e-289,6.21521345009106e-287
"ENSMUSG00000004552",29954.4020437123,-6.38210771004744,0.176002279145796,-36.2615060499339,6.54557409360357e-288,1.06692857725738e-285
"ENSMUSG00000039652",2609.53831194819,-8.09609581809328,0.223832193456899,-36.1703814498529,1.77943276142999e-286,2.86961927984226e-284
"ENSMUSG00000044792",9888.3548681396,-5.30794039690969,0.147265347755399,-36.0433766518239,1.75134389238483e-284,2.79459179628017e-282
"ENSMUSG00000028542",2598.06922184099,-9.44979101658498,0.26378328438097,-35.8240706523961,4.66087408592956e-281,7.35981148631315e-279
"ENSMUSG00000008730",27912.5599121411,-4.09451796908626,0.114705611235506,-35.6958820495683,4.57969927839743e-279,7.1570784908481e-277
"ENSMUSG00000029922",22699.0074030441,-5.83659140357011,0.163580359809829,-35.6802699930203,7.99834281047915e-279,1.23721304759238e-276
"ENSMUSG00000029613",11186.6502223451,-4.49195369261151,0.126283724407032,-35.5703295393256,4.0301636581272e-277,6.17103544379295e-275
"ENSMUSG00000011831",13481.3004770258,-6.27856744360259,0.176695546807183,-35.5332522921701,1.5074593664891e-276,2.28515765366083e-274
"ENSMUSG00000032656",5446.27897263794,-8.38542787245893,0.236593528314265,-35.4423383099501,3.80659534765237e-275,5.71328503713487e-273
"ENSMUSG00000078652",16800.6696554434,-4.23512739986672,0.1202199661303,-35.2281533275139,7.41356006676848e-272,1.10178585345239e-269
"ENSMUSG00000032028",15193.6990958446,-5.86286907929726,0.167013903317262,-35.1040779411046,5.84106153720186e-270,8.59656814004302e-268
"ENSMUSG00000021792",14226.2305504689,-6.78006410222251,0.194177421224249,-34.9168510915203,4.1263585340622e-267,6.01456432863931e-265
"ENSMUSG00000047446",11573.1945740172,-5.29586547013295,0.152869156444412,-34.643126143361,5.66928372666299e-263,8.18482590595088e-261
"ENSMUSG00000035476",9459.39756883989,-5.35212844302113,0.154629868507227,-34.6125137057268,1.63787921126258e-262,2.34232178901222e-260
"ENSMUSG00000037287",14541.1114512706,-5.9836746299434,0.17589254521455,-34.0189211694255,1.16994799964273e-253,1.65749922678356e-251
"ENSMUSG00000036112",52348.5234001607,-4.6670511175865,0.13875230303697,-33.6358461476706,5.02167923990426e-248,7.04848477756562e-246
"ENSMUSG00000056091",11391.4158282392,-6.54862789967155,0.19532613049381,-33.5266350852073,1.97246410081786e-246,2.74317278021083e-244
"ENSMUSG00000018983",9159.984777187,-6.82792682330784,0.204011903261087,-33.4682766748649,1.39556009954548e-245,1.92320868627363e-243
"ENSMUSG00000092274",16542.493442883,-4.54588074364281,0.137233768217893,-33.1250886911819,1.29392511113567e-240,1.76708205042393e-238
"ENSMUSG00000026028",34985.8632781128,-6.0782377258833,0.183499249845566,-33.1240467249799,1.3394062240775e-240,1.81286240632061e-238
"ENSMUSG00000042744",30740.4009700464,-5.95486116147588,0.180222976617017,-33.0416313904872,2.05168458358317e-239,2.75234394712719e-237
"ENSMUSG00000070733",13771.1481037714,-3.90399063584373,0.119365933085246,-32.7060706094064,1.28030671460003e-234,1.7024710075984e-232
"ENSMUSG00000029780",18582.2747697313,-5.51948120129146,0.16949832238776,-32.5636332179418,1.34273568586729e-232,1.7699591532228e-230
"ENSMUSG00000036390",3770.36500593292,-5.06935879427527,0.156095273232896,-32.4760557400846,2.32290355608252e-231,3.03559439712542e-229
"ENSMUSG00000024410",7599.43246128035,-5.65252165171695,0.174152390583246,-32.4573302312207,4.2688691438755e-231,5.53092199589818e-229
"ENSMUSG00000040713",16402.8666200374,-4.11968148308627,0.127128316976094,-32.4056951360486,2.28178314882111e-230,2.93131786042197e-228
"ENSMUSG00000026193",4714.07505294671,-6.63980340386456,0.20545255071641,-32.3179409586869,3.91557955661504e-229,4.98792189064937e-227
"ENSMUSG00000047139",48107.5556301019,-4.30500178477178,0.133704738066937,-32.197825200604,1.89305085880255e-227,2.39139649738232e-225
"ENSMUSG00000031154",9143.92726689922,-4.28895446974635,0.133449951940846,-32.1390484400287,1.25631746771597e-226,1.57392698290135e-224
"ENSMUSG00000037788",6723.3517573281,-4.97887650560071,0.15502338946206,-32.1169374690986,2.55806932330266e-226,3.17850597311025e-224
"ENSMUSG00000024052",16529.9742875327,-4.1879246878988,0.130547394147255,-32.0797264108919,8.4555475890781e-226,1.04209468213687e-223
"ENSMUSG00000032380",2141.43452407148,-6.71949586194025,0.210587673965628,-31.9083056258887,2.04798074237416e-223,2.50365645755241e-221
"ENSMUSG00000030217",4027.62915730847,-5.38309988893488,0.170034574354198,-31.6588547322226,5.72804624181532e-220,6.94651623837427e-218
"ENSMUSG00000021282",29097.2226683064,-3.59696177284509,0.114141894417814,-31.513072313996,5.75166098789524e-218,6.91979594567492e-216
"ENSMUSG00000032741",5659.26142108033,-4.53000558733191,0.144216971678299,-31.4110436144566,1.42987603163019e-216,1.70673155617969e-214
"ENSMUSG00000026311",5088.84119518454,-4.72829059406399,0.150693674485156,-31.3768352269475,4.18962505374471e-216,4.96175985857156e-214
"ENSMUSG00000045730",7172.32305007166,-7.16111782668335,0.228274165209906,-31.3706889261798,5.08166686905618e-216,5.97154946263742e-214
"ENSMUSG00000029866",12019.1867511633,-6.29940070774146,0.201168117779297,-31.3141106914993,2.99862365066728e-215,3.49662584003579e-213
"ENSMUSG00000025175",3077.49457725658,-10.967226693949,0.354014420428917,-30.9796043919943,1.01487526746276e-210,1.17438886866168e-208
"ENSMUSG00000029826",10897.5551424706,-3.73664295968958,0.120897705005681,-30.9074763620534,9.47814323639696e-210,1.08847858576168e-207
"ENSMUSG00000027907",2621.64686305916,-5.86408895545876,0.189806502575697,-30.8950898724879,1.39035869704375e-209,1.58469529988618e-207
"ENSMUSG00000028557",5936.16168422336,-4.65771966351664,0.151686924500593,-30.7061381780368,4.71307999002629e-207,5.33175966931407e-205
"ENSMUSG00000001763",4742.96911563975,-5.23007786306526,0.170618599816335,-30.6536208168116,2.36479422190038e-206,2.65540115628058e-204
"ENSMUSG00000067736",79182.8197006412,-7.12317329341724,0.233189324184202,-30.5467384424103,6.2476864140288e-205,6.96387340810755e-203
"ENSMUSG00000101823",3388.21212512617,-7.91290572264459,0.259168025991148,-30.531951973562,9.81845171010297e-205,1.08640809834636e-202
"ENSMUSG00000023216",17418.5541174177,-8.28427831319948,0.271685269099593,-30.4921880404295,3.30771856568973e-204,3.63345693748483e-202
"ENSMUSG00000026835",2074.61613498117,-7.14333693606215,0.234722359939,-30.4331335877782,2.0028352346722e-203,2.18424311671913e-201
"ENSMUSG00000023952",5448.56952044403,-5.36162653697794,0.176554099662726,-30.3681791995786,1.44595029822765e-202,1.56565432648807e-200
"ENSMUSG00000026532",17960.5052857733,-4.69272194309339,0.154746998129581,-30.3251242338403,5.34818102804859e-202,5.74986356058075e-200
"ENSMUSG00000026463",19669.6448067357,-3.5500427430769,0.117443430630704,-30.2276825873714,1.02529496391396e-200,1.0945384759135e-198
"ENSMUSG00000042599",8228.45905550276,-4.10485158207328,0.136252359374176,-30.1268293696151,2.15804635493379e-199,2.28768004856233e-197
"ENSMUSG00000018677",3435.25453991034,-4.79407078444624,0.15928923329753,-30.0966404646546,5.36150122025333e-199,5.64409701373752e-197
"ENSMUSG00000035202",86342.4002323609,-5.58053043208569,0.185701595241219,-30.0510635077571,2.11455786959699e-198,2.21066087898075e-196
"ENSMUSG00000033688",3874.10025309041,-8.07585797976892,0.269378937515551,-29.979545001742,1.81355289335223e-197,1.88298961029633e-195
"ENSMUSG00000026657",8466.76461815959,-4.15496068541537,0.138981141931,-29.8958594503288,2.22742229048399e-196,2.29697241506441e-194
"ENSMUSG00000053835",3414.7259241357,-5.08644734830874,0.170388723938685,-29.8520185534055,8.26483306640136e-196,8.46531111172826e-194
"ENSMUSG00000020334",2626.06197267245,-6.12639450250828,0.20574881715524,-29.7760861384969,7.97106892752791e-195,8.10962643438896e-193
"ENSMUSG00000056234",20249.2082196279,-3.89461915804798,0.131021053024269,-29.7251401065032,3.63503153619367e-194,3.67356287047732e-192
"ENSMUSG00000007379",4263.99376541534,-6.40433697043628,0.216101898583545,-29.6357274619702,5.18020422887274e-193,5.20044476195244e-191
"ENSMUSG00000024072",4872.95695900023,-4.38219283502191,0.147905576616148,-29.6283137882948,6.45449145329728e-193,6.43708131187721e-191
"ENSMUSG00000076609",2572.02104328285,-9.38522728614856,0.317260438782813,-29.5820913636616,2.54002301342969e-192,2.51661495820788e-190
"ENSMUSG00000089875",2158.68330835926,-7.62335653493568,0.258563107560723,-29.4835431351913,4.68012196547581e-191,4.60688109575635e-189
"ENSMUSG00000073155",3399.56892165449,-5.78428457973921,0.196896483021252,-29.3772874506594,1.07133445578504e-189,1.04776509775777e-187
"ENSMUSG00000083563",1853.83529522361,-8.46671398479056,0.289612422381931,-29.2346368127295,7.04057961250754e-188,6.84154784269242e-186
"ENSMUSG00000049800",5906.28967403252,-4.77947486336634,0.163535926444066,-29.2258402620849,9.10766176508629e-188,8.79382450299e-186
"ENSMUSG00000034663",11563.7989675907,-4.28434809333492,0.147612369729621,-29.024316195062,3.2467939122673e-185,3.11507271620633e-183
"ENSMUSG00000027187",11019.5712308298,-4.87691534483373,0.168592108137562,-28.9273050720407,5.41622423238026e-184,5.16380774456933e-182
"ENSMUSG00000003813",5912.81584526206,-5.00400406121284,0.174725582843434,-28.6392180227938,2.18393513207335e-180,2.06914204169375e-178
"ENSMUSG00000026880",9469.29346083863,-3.76919257597185,0.131687105507507,-28.6223359640705,3.54331607070502e-180,3.33621915005077e-178
"ENSMUSG00000027962",2826.08651692514,-6.82964576201778,0.238812990285229,-28.598300929362,7.05369132012101e-180,6.60042634084657e-178
"ENSMUSG00000020390",5970.70145806779,-3.97354003948209,0.138987806477546,-28.5891269182957,9.17231932261754e-180,8.53025697003431e-178
"ENSMUSG00000020235",6467.50358571752,-5.21636001128346,0.182515231718702,-28.5804092193416,1.17715760598109e-179,1.08808122860167e-177
"ENSMUSG00000027330",3818.82448663913,-4.85039592669597,0.169966785894929,-28.5373162830437,4.036157867132e-179,3.70812830956691e-177
"ENSMUSG00000021939",16269.3359054132,-4.84316412302232,0.170243312039823,-28.4484839080751,5.08812900090117e-178,4.64644262196752e-176
"ENSMUSG00000037124",5971.14621919766,-7.15815417889853,0.253116615276237,-28.2800643927959,6.07851473254214e-176,5.51761705572493e-174
"ENSMUSG00000034127",4019.23407333292,-5.35494447783511,0.189988004376549,-28.1856978044878,8.75609524621017e-175,7.90081237126785e-173
"ENSMUSG00000038843",8508.7477016523,-4.54527487422203,0.161744271277087,-28.101612739257,9.36150687580164e-174,8.39710548699864e-172
"ENSMUSG00000022742",9604.83385957011,-3.92981809049936,0.13985609225756,-28.0990125425654,1.00720565193498e-173,8.98131204569551e-172
"ENSMUSG00000018796",10233.6471773785,-4.46642158751801,0.159001187281417,-28.0904920515648,1.28000426851277e-173,1.13471255592896e-171
"ENSMUSG00000034761",8187.58412370008,-4.93038067471285,0.1758404979936,-28.0389371673203,5.44974539505695e-173,4.80306339788769e-171
"ENSMUSG00000030282",8644.90395951856,-4.4004441637584,0.157651149133307,-27.9125409992252,1.87936043235003e-171,1.64677599965283e-169
"ENSMUSG00000056399",1513.26282590672,-8.47378787114669,0.304656006756983,-27.814281298271,2.91454678909053e-170,2.53917326297836e-168
"ENSMUSG00000083012",4008.69813762637,-6.4007398113597,0.23142954722682,-27.6574010884031,2.2736588557799e-168,1.96950826255814e-166
"ENSMUSG00000038664",32775.1932529724,-3.59245935837929,0.130071276748753,-27.6191596498165,6.55152605048595e-168,5.64287405677934e-166
"ENSMUSG00000034354",9124.86913519286,-3.51885372091588,0.127540536162631,-27.5900809796572,1.46355618211287e-167,1.25344904885023e-165
"ENSMUSG00000078588",1684.5410978266,-10.0137744500371,0.363291450432415,-27.5640245266384,3.00528313875674e-167,2.55938691575356e-165
"ENSMUSG00000032902",13525.2728800349,-3.45193732884751,0.125694544600813,-27.4629049320345,4.87247843581358e-166,4.12636316248593e-164
"ENSMUSG00000028124",9163.97500281493,-3.88222434921496,0.141467805852833,-27.4424582032012,8.54770732554886e-166,7.19859418599973e-164
"ENSMUSG00000028436",6143.74288312236,-4.03460729227029,0.147950628591543,-27.2699570841899,9.63843124861312e-164,8.07231929821692e-162
