"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000804",24215.7255116735,-4.92611952522505,0.12965927463058,0,0
"ENSMUSG00000001763",24269.8428127218,-6.51906451119534,0.13355092360976,0,0
"ENSMUSG00000004319",35679.756687095,-4.95263053713693,0.125130327191786,0,0
"ENSMUSG00000019838",22520.0276789594,-4.92942202688542,0.127354865508678,0,0
"ENSMUSG00000020300",21240.4810015001,-5.96827849858511,0.130188455269152,0,0
"ENSMUSG00000022797",113933.577422101,-4.95967593499255,0.110211990066461,0,0
"ENSMUSG00000024588",22901.0744337858,-5.5791472170546,0.118145182463435,0,0
"ENSMUSG00000025270",39201.013952285,-13.4741098054558,0.296222861131879,0,0
"ENSMUSG00000026532",160756.279392999,-6.81135393354051,0.136006637976364,0,0
"ENSMUSG00000026605",89064.6599038957,-4.33958748577401,0.0990883294704035,0,0
"ENSMUSG00000026880",26196.1584604687,-4.17625662883698,0.108940973558324,0,0
"ENSMUSG00000027330",14290.1450972949,-5.68593055291131,0.143438252663247,0,0
"ENSMUSG00000028644",54379.642138307,-4.7129435899603,0.123314441161715,0,0
"ENSMUSG00000031543",98314.240453635,-6.91048182702969,0.144144145577564,0,0
"ENSMUSG00000031974",33588.943320511,-5.84059112648231,0.128152432136794,0,0
"ENSMUSG00000032126",16382.6441484604,-4.93511414001375,0.124381162068203,0,0
"ENSMUSG00000034248",90318.4327759474,-7.1733791599032,0.145393133403788,0,0
"ENSMUSG00000038664",88035.3095798118,-3.9582959775223,0.0931485076740748,0,0
"ENSMUSG00000038725",34814.737382506,-6.66159086906037,0.128572047326742,0,0
"ENSMUSG00000038943",44078.4865914017,-4.19326455798381,0.103808761461799,0,0
"ENSMUSG00000044468",17563.5198816352,-7.03608889835379,0.180073228972916,0,0
"ENSMUSG00000051839",43629.3003188564,-6.61796375791717,0.171620768226607,0,0
"ENSMUSG00000051910",36689.702866003,-7.30741190176183,0.122299612928901,0,0
"ENSMUSG00000059495",20263.5081118617,-5.26880048162753,0.128276309318326,0,0
"ENSMUSG00000062729",19615.5676913254,-6.56985113908625,0.155779759496806,0,0
"ENSMUSG00000069917",565237.859906481,-11.3678877115446,0.16465568035832,0,0
"ENSMUSG00000073940",171906.623418419,-10.909734031326,0.151074552148055,0,0
"ENSMUSG00000079553",14050.2048444104,-4.83003889268036,0.124708355413607,0,0
"ENSMUSG00000103065",12640.5315676189,-8.73679874128556,0.173709279236286,0,0
